code,Barcode,name,Compcode,Compname,Pack,Unit,Location,Expiry,Generic,Saltcode,Strength,saltcode1,Strength1,saltcode2,Strength2,saltcode3,Strength3,Saltcode4,Strength4,Saltcode5,Strength5,Substitute,Saltno,Prate,Tsr,Psc,ptax,Excise,Scm1,scm2,Srate,Sc,Saletype,Stax,Wsrate,Add_sc,Add_tsr,Costrate,opqty,Clqty,status,Vdt,Batchcode,cname_bc,Defqty,BarcodeQty,splrate,Mrp,Ssc,WsNet,SplNet,Hscm,Box,CommonItem,Sscm1,FDis,Sscm2,FDisP,currentScm,ScmFrom,ScmTo,CurrScm1,CurrScm2,TrimName,PresReq,Division,QScm,SconMrp,VAT,Margin,Inclusive,ItemCat,Gdn,PRateCase,PRateBox,Desc1,Desc2,MinQty,MaxQty,ItCase,TRate,Wr,Pic,Mfg,TempOpqty,TempClqty,TempAmt,TempAmt1,TempAmt2,TaxonMrp,ScmPer,IWeight,SubStrenght,ItemRef,MaxInvQty,MaxQtyWr,OpFreeQty,VATonSrate,Exon,ExPer,UnitType,MfgQty,mTag,DisContinue,MfgBy,Vol,VDisP,VDisS,FDisWR,LastYearCost,OpAddQty,SaleLessQty,SplDisQty,SplDisPer,MinGP,LockScm,FullName,RateLock,MinRate,PurExciseAsRate,PurNetRate,CostWFQ,LockBilling,SameBatchCost,EsCode,FdisPWS,ItemType,ItemGroup,HSNCode,CGST,SGST,IGST,GSTCess,IucCode,Flag,miscsettings,SyncMark
11,00014,GABAPIN-300,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,269.04,0.00,0.00,0.00,0.00,0,0,298.93,0.00,1,0.00,0.00,N,N,269.04,89,58,,09-Jul-08,N,Y,N,0,$0.00,$418.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,GABAPIN300,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLGABAPTB030001,,26,55,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,GABAPIN-300,1,0,0,0,269.04,N,154.29,0,0,00,0,30049081,6,6,12,0,,,,
12,00015,CIZA SYP 30ML,1,INTAS,1*30ML,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,14.11,0.00,0.00,0.00,0.00,0,0,17.64,0.00,1,0.00,0.00,N,N,12.70,0,0,,09-Jul-08,N,Y,N,0,$0.00,$23.15,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CIZASYP30ML,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,,,0,0,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CIZA SYP 30ML,1,0,0,0,12.7,N,12.7,0,,00,0,,0,0,0,0,,,,
13,00016,ALZIL-10MG,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,125.69,0.00,0.00,0.00,0.00,0,0,139.66,0.00,1,0.00,0.00,N,N,125.69,37,32,,09-Jul-08,N,Y,N,0,$0.00,$195.53,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,ALZIL10MG,N,AVANTA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLALZILTB001000,,30,20,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,ALZIL-10MG,1,0,0,0,125.69,N,108.31,0,0,00,0,30049099,6,6,12,0,,,,
14,00017,AMTAS-AT,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,120.21,0.00,0.00,0.00,0.00,0,0,133.57,0.00,1,0.00,0.00,N,N,120.21,1363,1756,,09-Jul-08,N,Y,N,0,$0.00,$187.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,AMTASAT,N,NEXA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLAMTASTB005002,,476,383,0,0,0,N,0,0,+++,N,0,,0,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,AMTAS-AT,1,0,0,0,120.21,N,63.64,0,0,00,0,30049079,6,6,12,0,,,,
15,00018,PHENYTAL-30,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,11.74,0.00,0.00,0.00,0.00,0,0,13.04,0.00,1,0.00,0.00,N,N,11.74,123,86,,09-Jul-08,N,Y,N,0,$0.00,$18.25,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,PHENYTAL30,N,ALECTA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLPHENYTB003000,,64,84,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,PHENYTAL-30,1,0,0,0,11.74,N,7.71,0,,00,0,30049081,6,6,12,0,,,,
16,00020,DIVAA-250,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,108.64,0.00,0.00,0.00,0.00,0,0,120.71,0.00,1,0.00,0.00,N,N,108.64,17,22,,09-Jul-08,N,Y,N,0,$0.00,$169.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,DIVAA250,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLDIVAATB025003,,15,18,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,DIVAA-250,1,0,0,0,108.64,N,53.36,0,0,00,0,30049082,6,6,12,0,,,,
17,00021,NEOCALM PLUS,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,10.12,0.00,0.00,0.00,0.00,0,0,11.25,0.00,1,0.00,0.00,N,N,10.12,286,120,,09-Jul-08,N,Y,N,0,$0.00,$15.75,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,NEOCALMPLUS,N,ALTIMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLNEOCATBXXXX01,,174,144,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,NEOCALM PLUS,1,0,0,0,10.12,N,6.11,0,,00,0,30049089,6,6,12,0,,,,
18,00023,OLIZA-5mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,38.89,0.00,0.00,0.00,0.00,0,0,43.21,0.00,1,0.00,0.00,N,N,38.89,255,241,,09-Jul-08,N,Y,N,0,$0.00,$60.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,OLIZA5mg,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLOLIZATB000500,,132,129,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,OLIZA-5mg,1,0,0,0,38.89,N,22.82,0,,00,0,30049099,6,6,12,0,,,,
19,00024,CLONIL-10,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,31.29,0.00,0.00,0.00,0.00,0,0,34.77,0.00,1,0.00,0.00,N,N,31.29,100,64,,09-Jul-08,N,Y,N,0,$0.00,$48.68,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CLONIL10,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLCLONITB001000,,47,45,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CLONIL-10,1,0,0,0,31.29,N,16.07,0,,00,0,30049099,6,6,12,0,,,,
20,00025,MOZA-5mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,69.91,0.00,0.00,0.00,0.00,0,0,77.68,0.00,1,0.00,0.00,N,N,69.91,36,33,,09-Jul-08,N,Y,N,0,$0.00,$108.75,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,MOZA5mg,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLMOZAXTB000500,,17,59,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,MOZA-5mg,1,0,0,0,69.91,N,37.29,0,,00,0,30049039,6,6,12,0,,,,
21,00026,TAGON-20MG TAB.,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,119.76,0.00,0.00,0.00,0.00,0,0,133.07,0.00,1,0.00,0.00,N,N,108.98,32,12,,09-Jul-08,N,Y,N,0,$0.00,$186.30,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,TAGON20MGTAB,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLTAGONTB002003,,19,24,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,TAGON-20MG TAB.,1,0,0,0,108.98,N,74.82,0,0,00,0,30049079,6,6,12,0,,,,
22,00028,ZAPIZ-2mg,1,INTAS,1*15,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,150.26,0.00,0.00,0.00,0.00,0,0,166.96,0.00,1,0.00,0.00,N,N,150.26,39,37,,09-Jul-08,N,Y,N,0,$0.00,$233.75,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,ZAPIZ2mg,N,ALTIMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLZAPIZTB000200,,47,47,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,ZAPIZ-2mg,1,0,0,0,150.26,N,55.93,0,0,00,0,30049088,6,6,12,0,,,,
23,00029,BUSPIN-5mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,28.76,0.00,0.00,0.00,0.00,0,0,31.96,0.00,1,0.00,0.00,N,N,28.76,168,172,,09-Jul-08,N,Y,N,0,$0.00,$44.75,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,BUSPIN5mg,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLBUSPITB000500,,53,133,0,0,0,N,0,0,+++,N,0,,0,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,BUSPIN-5mg,1,0,0,0,28.76,N,16.07,0,,00,0,30049089,6,6,12,0,,,,
24,00030,LAN-30,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,99.00,0.00,0.00,0.00,0.00,0,0,110.00,0.00,1,0.00,0.00,N,N,90.09,80,84,,09-Jul-08,N,Y,N,0,$0.00,$154.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,LAN30,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLLANXXCP003000,,70,78,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,LAN-30,1,0,0,0,90.09,N,53.36,0,,00,0,30049081,6,6,12,0,,,,
25,00031,OLIZA-2.5mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,35.36,0.00,0.00,0.00,0.00,0,0,39.29,0.00,1,0.00,0.00,N,N,35.36,280,315,,09-Jul-08,N,Y,N,0,$0.00,$55.00,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,OLIZA25mg,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLOLIZATB2X5000,,168,183,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,OLIZA-2.5mg,1,0,0,0,35.36,N,18.96,0,,00,0,30049099,6,6,12,0,,,,
26,00032,REXIPRA-10mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,65.95,0.00,0.00,0.00,0.00,0,0,73.28,0.00,1,0.00,0.00,N,N,65.95,109,43,,09-Jul-08,N,Y,N,0,$0.00,$102.59,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,REXIPRA10mg,N,ALTIMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLREXIPTB001000,,39,36,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,REXIPRA-10mg,1,0,0,0,65.95,N,52.99,0,,00,0,30049099,6,6,12,0,,,,
27,00033,REXIPRA-20mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,105.19,0.00,0.00,0.00,0.00,0,0,116.88,0.00,1,0.00,0.00,N,N,105.19,55,27,,09-Jul-08,N,Y,N,0,$0.00,$163.63,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,REXIPRA20mg,N,ALTIMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLREXIPTB002000,,26,17,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,REXIPRA-20mg,1,0,0,0,105.19,N,81.75,0,,00,0,30049099,6,6,12,0,,,,
28,00034,CEFTAS-200 MG TAB.,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,68.09,0.00,0.00,0.00,0.00,0,0,75.65,0.00,1,0.00,0.00,N,N,55.77,540,317,,09-Jul-08,N,Y,N,0,$0.00,$105.91,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CEFTAS200MGTAB,N,ALAIRA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLCEFTATB020000,,209,168,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CEFTAS-200 MG TAB.,1,0,0,0,61.96,N,43.89,0,0,00,0,30042019,6,6,12,0,,,,
29,00035,PANTIUM-40mg,1,INTAS,1*10,1,,Y,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,80.04,0.00,0.00,0.00,0.00,0,0,88.93,0.00,1,0.00,0.00,N,N,72.84,53,18,,09-Jul-08,N,Y,N,0,$0.00,$124.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,PANTIUM40mg,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLPANTITB004000,,19,12,0,0,0,N,0,0,+++,N,0,,0,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,PANTIUM-40mg,1,0,0,0,72.84,N,61.07,0,0,00,0,30049074,6,6,12,0,,,,
30,00036,FACID-20mg,1,INTAS,1*14,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,2.41,0.00,0.00,0.00,0.00,0,0,2.68,0.00,1,0.00,0.00,N,N,2.41,99,0,,09-Jul-08,N,Y,N,0,$0.00,$3.75,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,FACID20mg,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLFACIDTB002000,,99,99,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,FACID-20mg,1,0,0,0,2.41,N,2.08,0,,00,0,30049039,6,6,12,0,,,,
31,00037,FACID-40mg,1,INTAS,1*14,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,4.34,0.00,0.00,0.00,0.00,0,0,4.82,0.00,1,0.00,0.00,N,N,4.34,78,0,,09-Jul-08,N,Y,N,0,$0.00,$6.75,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,FACID40mg,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLFACIDTB004000,,56,56,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,FACID-40mg,1,0,0,0,4.34,N,3.71,0,,00,0,30049039,6,6,12,0,,,,
32,00038,OLIZA-10mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,71.68,0.00,0.00,0.00,0.00,0,0,79.64,0.00,1,0.00,0.00,N,N,71.68,100,90,,09-Jul-08,N,Y,N,0,$0.00,$111.50,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,OLIZA10mg,N,AQUILA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLOLIZATB001000,,60,70,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,OLIZA-10mg,1,0,0,0,71.68,N,41.79,0,,00,0,30049099,6,6,12,0,,,,
33,00039,CIZA-10mg,1,INTAS,1*10,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,36.61,0.00,0.00,0.00,0.00,0,0,45.76,0.00,1,0.00,0.00,N,N,32.95,0,0,,09-Jul-08,N,Y,N,0,$0.00,$60.06,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,CIZA10mg,N,PHARMA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,,,0,0,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,CIZA-10mg,1,0,0,0,32.95,N,32.95,0,,00,0,,0,0,0,0,,,,
34,00040,AMTAS-5mg,1,INTAS,1*30,1,,N,N,0,,0,,0,,0,,0,,0,,0+0+0+0,0,54.86,0.00,0.00,0.00,0.00,0,0,60.96,0.00,1,0.00,0.00,N,N,54.86,540,978,,09-Jul-08,N,Y,N,0,$0.00,$85.34,$0.00,N,N,N,0,N,0,N,0,0,N,10-Aug-02,10-Aug-02,0,0,AMTAS5mg,N,NEXA,N,0,4,0,N,0,0,0,0,77500000,,0,0,0,0,W,IPLAMTASTB000504,,213,273,0,0,0,N,0,0,+++,N,0,,,N,M,0,0,0,,N,,0,0,0, ,0,0,0,0,0,0,,AMTAS-5mg,1,0,0,0,54.86,N,25.6,0,0,00,0,30049072,6,6,12,0,,,,
