PRABHAT MEDICINE COMPANY,,,
"SHOP NO. 10 & 18, CENTRAL PLAZA KHAIR NAGAR, MEERUT CITY",,,
SUPPLIER LIST,,,
15,,ATUL MEDICAL AGENCY,Mob : 
,,196/1 FIRST FLOOR CENTRAL PLAZA,Tel : 
,,BAN BATAN KHAIR NAGAR,"DL.NO. : UP1520B000222 , UP1521B000222"
,,MEERUT,GstNo : 09AJDPG3469K1ZX
,,,Email: 
,,,
16,,AVS MEDICAL STORE AGENCY,Mob : 
,,L-246 GROUND FLOOR OPP. KHYATI,Tel : 
,,SHASTRI NAGAR MEERUT,"DL.NO. : UP1520B001649 , UO1521B001644"
,,,GstNo : 09DTJPS1236P1ZX
,,,Email: 
,,,
17,,B.R.ENTERPRISES,Mob : 
,,K.B.L.MEDICAL COMPLEX,Tel : 01212421220
,,KHAIR NAGAR MEERUT,"DL.NO. : OBW-339/85 , BW-340/85"
,,,GstNo : 
,,,Email: 
,,,
18,,BABA MEDICAL AGENCY,Mob : 
,,OPP.E.S.I.DISPENSARY,Tel : 08979111515
,,MODI NAGAR,"DL.NO. : 125/20B-2008 , 125/21B-2008"
,,,GstNo : 09AYVPK8027G1ZU
,,,Email: 
,,,
19,,BADRI MEDICAL AGENCIES,Mob : 
,,"114 , ANKIT VIHAR PACHANDA ROAD",Tel : 
,,MUZAFFAR NAGAR-251002 U.P.,"DL.NO. : UP1220B001337 , UP1221B001335"
,,,GstNo : 09ESDPB8113A1ZA
,,,Email: 
,,,
20,,BADRINATH MEDICOSE,Mob : 
,,"BRIJ MARKETNEAR SHIV CHOWK,",Tel : 
,,P.S.KOTWALI MUZAFFAR NAGAR U.P,DL.NO. : MOZ-2017/20B/000616
,,,GstNo : 09AASFB5109P1ZS
,,,Email: 
,,,
21,,BALAJI ENTERPRISES,Mob : 
,,"HF-6,159 - 1ST FLOOR",Tel : 
,,BABA MEDI MALL,"DL.NO. : UP1520B000151 , UP1521B000151"
,,,GstNo : 09AAOFB8859Q1Z7
,,,Email: 
,,,
22,,BANSI MEDICINE AGENCY,Mob : 
,,SHOP NO.7 BAN BATAN CENTRAL,Tel : 
,,MARKET KHAIR NAGAR MEERUT,DL.NO. : MUT-2015/20B/00015
,,,GstNo : 09ASYPG2442E1ZK
,,,Email: 
,,,
23,,BHARAT MEDICAL STORE,Mob : 
,,KOTHI GATE HAPUR,Tel : 
,,,DL.NO. : HUP-2017/20B/00023
,,,GstNo : 09ABWPG4699J1ZN
,,,Email: 
,,,
24,,BHARAT MEDICOSE,Mob : 
,,"79,ZILA PARISHAD MARKET",Tel : 
,,1ST FLOOR MUZAFFAR NAGAR,"DL.NO. : 20B-342/99 , 21B-343/99"
,,,GstNo : 09ACMPM0891P1ZR
,,,Email: 
,,,
25,,BHAWANI MEDICAL AGENCY,Mob : 
,,SHYAM MARKET OPP.VIJAYA BANK,Tel : 9319450629
,,MODINAGAR U.P.,DL.NO. : 127/20B/GZB/04
,,,GstNo : 
,,,Email: 
,,,
26,,BHUSHAN MEDICOS,Mob : 
,,SHOP.NO.9 CENTRAL PLAZA,Tel : 
,,KHAIR NAGAR MEERUT,"DL.NO. : OBW-145/2004 , BW-146/2004"
,,,GstNo : 
,,,Email: 
,,,
27,,BRAJ & SONS MEDICONE CO.,Mob : 
,,SHOP.NO.-15 MATEEN COMPLEX,Tel : 09675776773
,,KHAIR NAGAR MEERUT,"DL.NO. : MRT-20B-18/15 ,MRT-21B-18/2015"
,,,GstNo : 09AMDPG4984E1ZY
,,,Email: 
,,,
28,,BRIJ PHARMA AGENCIES,Mob : 
,,"40, ZILA PARISHAD MARKET,",Tel : 
,,MUZAFFARNAGAR,"DL.NO. : 20B-48 , 21B-48"
,,,GstNo : 09AALFB6425F1ZF
,,,Email: brijpharma2012@gmail.com
,,,
29,,BRIJ PHARMACEUTICALS,Mob : 
,,"NEAR RAGHAV FARM,ITI COLLEGE",Tel : 
,,CHAKKAR CHAURAHA BIJNOR U.P.,"DL.NO. : UP2021B000257 , UP2020B000257"
,,246701,GstNo : 09AAVFB7988D1ZN
,,,Email: brijpharmaceuticals6@gmail.com
,,,
30,,C.M.R.LIFESCIENCS PVT.LTD.,Mob : 
,,"C-20,BASEMENT COMMUNITY CENTRE",Tel : 011-49785767
,,JANAKPURI NEW DELHI - 110058,DL.NO. : WLF20B2022DL000709
,,NEAR JANAK CINEMA,GstNo : 07AAECC3350J2ZR
,,,Email: amansharma@cmr-lifesciences.co
,,,
31,,CHEAP MEDICAL STORE,Mob : 
,,KHAIR NAGAR BAZAR,Tel : 0121-2519434
,,MEERUT,"DL.NO. : UP1520B001832 , UP1521B001826"
,,,GstNo : 09ABAPC1195R1ZC
,,,Email: cheapmedicalstores@yahoo.co.in
,,,
32,,D.P.PHARMA,Mob : 
,,"190/151,ANSARI MARG,NEAR KALIKA",Tel : 
,,MANDIR DEHRADUN-248001,"DL.NO. : UP-DEH-108151 , UA-DEH-108150"
,,,GstNo : 05AAKFD2173R1Z0
,,,Email: 
,,,
33,,DAKSH ENTERPRISES,Mob : 
,,"AF-2 , SHIVAM COMPLEX",Tel : 8859019997
,,1 ST FLOOR KHAIR NAGAR MEERUT,"DL.NO. : MRT-20B-91/13 , MRT-21B-91/13"
,,,GstNo : 09AHKPG5612P1ZW
,,,Email: 
,,,
34,09,DAKSH ENTERPRISES,Mob : 
,,KISHAN PURA SAHARANPUR,Tel : 01326451122
,,,DL.NO. : 20B-SRE/116/2013
,,,GstNo : 09AAFFD9002N1Z7
,,,Email: 
,,,
35,,DHARAM MEDICAL AGENCY,Mob : 
,,"OPP. NAYYAR PALACE,BOUNDRY RD.",Tel : 
,,"LALKURTI, MEERUT CANTT.",DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
36,,DR.REDDYS LABORATORIES LIMITED,Mob : 
,,"D-27,FRONT PORTION,BASEMENT",Tel : 
,,G-FLOOROKHLA INDUSTRIAL AREA,DL.NO. : 
,,"PHASE-1 , NEW DELHI",GstNo : 07AAACD7999Q1ZM
,,,Email: 
,,,
37,,DRUG HOUSE,Mob : 
,,26-PRACHI COMPLEX KHAIR NAGAR,Tel : 0121-2527974
,,MEERUT,"DL.NO. : OBW-14-10-98 , BW-14-10-98"
,,,GstNo : 
,,,Email: 
,,,
38,,DUA DRUG DISTRIBUTORS,Mob : 
,,KBL MEDICAL COMPLEX KHAIR NAGAR,Tel : 
,,MEERUT,"DL.NO. : UP1520B001899 , UP1521B001893"
,,,GstNo : 09ACHPD7353A1ZX
,,,Email: 
,,,
39,,DUA MEDICOS,Mob : 
,,KISHAN PURA SAHARN PUR,Tel : 
,,,"DL.NO. : 12/2007/U/WB , 12/2007/U/WNB"
,,,GstNo : 09AENPD5620G1ZL
,,,Email: 
,,,
40,,ELITE HEALTHCARE & PLASTICS,Mob : 
,,54-B-PRAHLAD NAGAR MEERUT,Tel : 
,,,DL.NO. : 
,,,GstNo : 09ANIPD5128P1ZL
,,,Email: elitehealthcare09@gmail.com
,,,
41,,EMKAY MEDICAL AGENCY,Mob : 
,,VIVEK VIHAR OPP. GANDHI EYE,Tel : 
,,HOSPITAL RAM GHAT ROAD,DL.NO. : 231/20B/ALG/2010
,,ALIGARH-202001,GstNo : 09ANTPG9449H1Z8
,,,Email: 
,,,
42,,G.R.MEDICOSE,Mob : 
,,"MATTEN MARKET,",Tel : 
,,"KHAIR NAGAR,MEERUT",DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
43,,G.S.B. HELATHCARE,Mob : 
,,1 ST FLOR 1&2 SHOP RAMLEELE,Tel : 9634067555
,,MAIDAN TEHSEEL DISTRICT BIJNOR,DL.NO. : 
,,U.P.,GstNo : 
,,,Email: 
,,,
44,,G.S.DISTRIBUTORS-UP,Mob : 
,,SHIV NAGAR BERI BAGH NEAR,Tel : 0132-2662002
,,CHAND GAS AGENCY SAHARANPUR,"DL.NO. : 20B17/3C/U/WNB,21B/17/3C/U/WB"
,,,GstNo : 
,,,Email: 
,,,
45,00051,GARG MEDICINE COMPANY,Mob : 
,,"9, KAMLA MARKET KHAIR NAGAR",Tel : 
,,MEERUT,DL.NO. : UP1520B001176
,,,GstNo : 09ADDPK3679H1Z9
,,,Email: 
,,,
46,,GENESCIENCE LIFECARE PVT. LTD,Mob : 
,,25A INDO BULGAR FOODS COMPOUND,Tel : 
,,INDUSTRIAL AREA DELHI MEERUT,"DL.NO. : GZB-128/20B/2013 ,128/21B/2013"
,,ROAD GHAZIABAD 201001,GstNo : 
,,,Email: 
,,,
47,,GOEL ASSOCIATES,Mob : 
,,E-212 TRANSPORT NAGAR KANPUR,Tel : 
,,ROAD LUCKNOW {U.P},"DL.NO. : 20-OBW-2272/8 , 21-BW-2272/8"
,,,GstNo : 
,,,Email: goelassociateslko@yahoo.co.in
,,,
48,,GOLDEN MEDICINE DISTRIBUTORS,Mob : 
,,SHARDA NAGAR CHOWK,Tel : 
,,SAHARANPUR,DL.NO. : 
,,,GstNo : 
,,,Email: imsandeepchawla@yahoo.com
,,,
49,,GRAF LAB.P.LTD.,Mob : 
,,AHMEDABAD,Tel : 
,,,DL.NO. : 
,,,GstNo : 
,,,Email: ppharma30@gmail.com
,,,
50,,GROVER MEDICAL AGENCIES,Mob : 
,,"12,MATEEN COMPLEX KHAIR NAGAR",Tel : 
,,MEERUT,DL.NO. : MRT-OBW-33/2001
,,,GstNo : 09AGQPG6773N1ZG
,,,Email: 
,,,
51,,GULSHAN TRADERS,Mob : 
,,GANJ BARADARI KAMAL TALKIES,Tel : 09358492861
,,MORADABAD,"DL.NO. : OBW-95/57 , BW-95/58"
,,,GstNo : 09ADXPV1060F1Z3
,,,Email: 
,,,
52,,GUPTA ENTERPRISES,Mob : 
,,"MISHRA GARDEN,OPP.HANUMAN GARHI",Tel : 
,,"TEMPLE KANKHAL, HARIDWAR-249408","DL.NO. : 20B-114778 , 21B-114779"
,,,GstNo : 05AAFFG3681G1ZI
,,,Email: 
,,,
53,,GUPTAJI TRADERS,Mob : 
,,"95-A,BASEMENT GALI NO.4",Tel : 01126174499
,,"KRISHNA NGAR,SAFDERJUNG ENCLA-",DL.NO. : 20B-DL-MLN-112972
,,"-VE,NEW DELHI , PIN : 110029",GstNo : 07AADFG9972C1ZA
,,,Email: guptajitraders95@gmail.com
,,,
54,,GURU KRIPA MEDICOSE,Mob : 
,,14/2 JAGDISH NAGAR JWALAPUR,Tel : 
,,HARIDWAR ( UTTRAKHAND ),"DL.NO. : 20B-HRD/105794 ,21B-HRD/105795"
,,,GstNo : 05ASVPK0290K1ZC
,,,Email: 
,,,
55,,HANSDEEP PHARMACEUTICALS,Mob : 
,,"106,1ST FLOOR NEW ARYA NAGAR",Tel : 
,,PATEL MARG GHAZIABAD,"DL.NO. : UP1420B000772 , UP1421B000766"
,,,GstNo : 09AAHPJ3661P1Z5
,,,Email: 
,,,
56,,HAPUR ENTERPRISES,Mob : 
,,ADV.COLONEY AVAS VIKAS,Tel : 
,,MEERUT ROAD HAPUR,"DL.NO. : 132/20B/GZB/2010 ,"
,,,GstNo : 
,,,Email: 
,,,
57,,HAR HAR MEDICARE,Mob : 
,,"1526/119 , 1ST FLOOR",Tel : 
,,SHRI NATHJI MEDICINE MARKET,DL.NO. : 20B-DL-CHC-100751
,,BHAGIRATH PALACE DELHI-06,GstNo : 07AAQPM0244E2ZU
,,,Email: 
,,,
58,,HINDUSTAN MEDICAL HALL,Mob : 
,,"54-ABUPURA RAST, MUZAFFATNAGAR",Tel : 
,,,"DL.NO. : UP1220B001265 , UP1221B001263"
,,,GstNo : 09ACHPG6094K1Z5
,,,Email: 
,,,
59,,INJEKTA DRUGS,Mob : 
,,"103,NALA PANI ROAD DEHRADUN",Tel : 
,,,DL.NO. : 20B-UA-DEH-106694
,,,GstNo : 05ALUPS5103R1ZB
,,,Email: 
,,,
60,IPL,INTAS PHARMACEUTICALS LTD.,Mob : 
,,87-B HILL SETEET,Tel : 0121-2664362
,,MEERUT,"DL.NO. : UP1520B001762 , UP1521B001756"
,,,GstNo : 09AAACI5120L1ZM
,,,Email: panchsheel@intaspharma.com
,,,
61,,J.K.M. TRADERS,Mob : 
,,"31, PAKKI MORI,NEW GATE",Tel : 
,,GAZIABAD,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
62,,JAGDAMBA MEDICINE CO.,Mob : 
,,DINESH COMPLEX RATAN MARKET,Tel : 
,,MODINAGAR,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
63,,JAGDISH MEDICARE PVT.LTD.,Mob : 
,,"C-7,INDUSTRIAL ESTATE,MEERUT",Tel : 0120-4326081
,,"ROAD,GHAZIABAD [UP]","DL.NO. : 20B-8/20B/2002 ,21B-8/21B/2002"
,,,GstNo : 09AAACJ2600E1Z5
,,,Email: jmpl.gzb@gmail.com
,,,
64,,JAGDISH MEDICINE CORNER,Mob : 
,,ARYA PURI SHAMLI,Tel : 
,,,"DL.NO. : UP1920B000167 , UP1921B000167"
,,,GstNo : 09AAXPM1308E1ZL
,,,Email: 
,,,
65,,JAGRITI MEDICINE CO.,Mob : 
,,4-CENTRAL PLAZA KHAIR NAGAR,Tel : 
,,MERUT,"DL.NO. : UP1520B000191 , UP1521B000191"
,,,GstNo : 09AUXPD3579N1ZL
,,,Email: 
,,,
66,00008,JAIN MEDICINE CO.,Mob : 
,,SETHI MARKET KHAIR NAGAR,Tel : 
,,MEERUT,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
67,,JAIN MEDICOSE,Mob : 
,,"SHOP NO.-4 , MEDICINE MARKET",Tel : 09927029565
,,JAWAHAR GANJ HAPUR,DL.NO. : HPU-16/20B/00019
,,,GstNo : 09AAAFJ8732A1ZM
,,,Email: 
,,,
68,,JYOTI MEDICINE CO.,Mob : 
,,SHOP NO.1 CENTRAL PLAZA,Tel : 
,,KHAIR NAGAR MEERUT,"DL.NO. : 20B-OBW-143/04,21B-BW-144/2004"
,,,GstNo : 09AEZPD4443B1ZG
,,,Email: 
,,,
69,,K.B. PHARMA,Mob : 
,,"78-B,2ND FLOOR AGGARWAL MARKET",Tel : 
,,MUZAFFAR NAGAR,"DL.NO. : 20B-12/2015 , 21B-12/.2015"
,,,GstNo : 09BZNPK4206P1ZR
,,,Email: 
,,,
70,,K.P.TRADING AGENCIES,Mob : 
,,"32 ,PRACHI COMPLEX KHAIR NAGAR",Tel : 
,,MEERUT,"DL.NO. : UP1520B001087 , UP1521B001082"
,,,GstNo : 09AABFK4895Q1ZF
,,,Email: 
,,,
71,,KABLABS,Mob : 
,,"331,CHIPPI TANK MEERUT",Tel : 
,,,"DL.NO. : 20B-234/1989 , 21B-235/1989"
,,,GstNo : 09AALFK3922C1ZG
,,,Email: 
,,,
72,00034,KAMAL ENTERPRISES,Mob : 
,,,Tel : 
,,,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
73,,KANCHAN PHARMA PVT. LTD.,Mob : 
,,"FIRST FLOOR , A-10/46 MEERUT ROAD",Tel : 
,,INDUSTRIAL AREA GHAZIABAD-201003,DL.NO. : UP1420B000038
,,,GstNo : 09AABCK6444J1ZA
,,,Email: 
,,,
74,00186,KARUN ENTERPRISES,Mob : 
,,"SE-7, ROOM NO.-1",Tel : 2764845
,,"SHASTRI NAGAR,GHAZIABAD - 02",DL.NO. : 89/20B/GZB/02 . 89/21B/GZB/02
,,,GstNo : 09AALPJ6463H1ZC
,,,Email: 
,,,
75,,"KARUN ENTERPRISES,BAREILLY",Mob : 
,,"46A,ASHAPURAM STADIUM ROAD",Tel : 0581-4066101
,,SHYAMAT GANJ BAREILLY,DL.NO. : UP2520B000363
,,,GstNo : 09AAVFK7808F1ZR
,,,Email: kebly@kegroup.co
,,,
76,,KASHESH MEDICOS,Mob : 
,,"35/42,RAMANUJ DAYAL NAI BASTI",Tel : 0120-4295806
,,GHAZIABAD,"DL.NO. : UP1420B002157 , UP1421B002136"
,,,GstNo : 09AUUPJ7596E1ZS
,,,Email: kashesh@kmedicos.co.in
,,,
77,,KHANNA MEDICAL HALL,Mob : 
,,"SADAR BAZAR, BIJNOR",Tel : 
,,,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
78,,KHANUJA MEDICINE SUPPLIERS,Mob : 
,,"43,NEW MARKET STATION ROAD",Tel : 
,,MURADABAD,"DL.NO. : 20-B-OBW/86/109,21-B-BW/86/110"
,,,GstNo : 
,,,Email: 
,,,
79,00053,M.G MEDICOSE,Mob : 
,,,Tel : 
,,MEERUT,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
80,,M/S SUBODH KUMAR VINOD KUMAR,Mob : 
,,326/2B ASORA HOUSE W.K.ROAD,Tel : 
,,MEERUT,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
81,,MADAAN MEDICOSE,Mob : 
,,"11B,1ST FLOOR JAI COMPLEX",Tel : 
,,TYAGI ROAD DEHRADUN-248001,DL.NO. : OBW-UA-DEH-111154
,,,GstNo : 05AWOPP9742L1ZP
,,,Email: 
,,,
82,,MADHUR MEDICAL AGENCIES,Mob : 
,,SHYAM MARKET OPP. VIJAY BANK,Tel : 
,,MODINAGAR,"DL.NO. : 360/20B/GZB/2006 ,"
,,,GstNo : 09ACGPK1446G1ZP
,,,Email: 
,,,
83,,MADURA COATS PRIVATE LTD.,Mob : 
,,13/6-7 CIVIL LINES PARMAT,Tel : 
,,KANPUR,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
84,,MALWA COTON SPINNING MILLS LTD,Mob : 
,,"87/158 ACHARYA NAGAR G,T. ROAD",Tel : 
,,KANPUR,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
85,,MAX ENTERPRISES,Mob : 
,,SHOP NO. 100 ZILA PARISHAD,Tel : 
,,MARKET 1ST FLOOR MUZAFFAR,"DL.NO. : 20B-74/2013 , 21B-74/2013"
,,NAGAR,GstNo : 09DVIPS9518D1Z2
,,,Email: 
,,,
86,,MAXZIMAA PHARMACEUTICALS PVT.,Mob : 
,,IBF COMPOUND DELHI MEERUT,Tel : 0120-4548223
,,ROAD GHAZIABAD,DL.NO. : GZB-466/20B/21B/2015
,,,GstNo : 09AAJCM5629D1ZC
,,,Email: 
,,,
87,,MEDICINE CHAMBER,Mob : 
,,PHAPHALA STREET RALIWAY ROAD,Tel : 
,,ALIGHAR,DL.NO. : 15-20B/ALI/2004
,,,GstNo : 09AABFM8849E1Z0
,,,Email: medicinechamber85@gmail.com
,,,
88,,MEDICINE HOUSE,Mob : 
,,"14/23/32,NAWABAI MARKET FOUNTAIN",Tel : 
,,AGRA-282003,"DL.NO. : UP8020B000520 , UP8021B000518"
,,,GstNo : 09AABPF0694C1Z3
,,,Email: medicinehouseagra@yahoo.com
,,,
89,,MEDLIUS PHARMA PVT LTD.,Mob : 
,,"OFFICE NO.608 , 6TH FLOOR TOWER-1",Tel : 
,,WORLD TRADE CENTER KHARADI,"DL.NO. : HR000796 , HR000800"
,,PUNE-411014,GstNo : 06AAMCM7444H1Z6
,,,Email: finance@medliuspharma.com
,,,
90,,MICRO LABS LIMITED,Mob : 
,,"SE-7,ROOM NO.-4,SHASTRI NAGAR",Tel : 0120-2764845
,,GHAZIABAD-201002. U.P.,"DL.NO. : UP1420B001622 , UP1421B001611"
,,,GstNo : 09AABCM2131N1ZG
,,,Email: 
,,,
91,,MOHAK MEDICOSE,Mob : 
,,46-NEW MARKET STATION ROAD,Tel : 
,,MURADABAD,DL.NO. : 20-B-MBD-2010/65
,,,GstNo : 
,,,Email: 
,,,
92,,N.K.BHARGAVA MEDICINES,Mob : 
,,AMINABAD SQUARE OPP.PRAKASH,Tel : 
,,KULFI LUCKNOW-226001 U.P.,"DL.NO. : 993/1986 ,994/1986"
,,,GstNo : 09AANPB8281D1ZM
,,,Email: nkbmedicines@gmail.com
,,,
93,00035,NARANG MEDICINE COMPANY,Mob : 
,,,Tel : 
,,MEERUT,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
94,,NOVACHEM LIFESCIENCES PVT LTD.,Mob : 
,,5 WEST GURU ANAND NAGAR,Tel : 011-65054066
,,LAXMI NAGAR DELHI - 110092,"DL.NO. : E (1407) 15 W,20 B , 21 B"
,,,GstNo : 07AAECN8931G1ZB
,,,Email: 
,,,
95,,OM PHARMA,Mob : 
,,"16,SHIVAM PLAZA ,1ST FLOOR",Tel : 
,,KHAIR NAGAR MARKET MEERUT,DL.NO. : MUT-2017/20B/000372
,,,GstNo : 09AEWPG4810L1Z0
,,,Email: 
,,,
96,,ORIENTAL MEDICALSTORE AGENCIES,Mob : 
,,KHAIR NAGAR MEERUT,Tel : 
,,,DL.NO. : 20B-UP1520B002089
,,,GstNo : 09AADFO5719P1ZM
,,,Email: 
,,,
97,,PAREKH INTEGRATED SERVICES,Mob : 
,,"C-273,NIRALA NAGAR MANGALAM",Tel : 05004065405
,,GUEST HOUSE LUCKNOW-226020,"DL.NO. : 20-B/2245/08 , 21-B/2245/08"
,,,GstNo : 
,,,Email: 
,,,
98,,PEE KAY MEDICOS,Mob : 
,,KISHAN PURA SAHARAN PUR,Tel : 
,,,DL.NO. : 20B-1/2004/C/U/WNB
,,,GstNo : 09AGAPA3122F1Z6
,,,Email: 
,,,
99,,PEE KAY PHARMA AGENCIES,Mob : 
,,6/148 AQAB KOTWALI SHASTRI,Tel : 2552153
,,MARKET BAREILLY,DL.NO. : 
,,,GstNo : 
,,,Email: 
,,,
100,,PHARMA ASSOCIATES C & F,Mob : 
,,"E-132 , TRANSPORT NAGAR",Tel : 0522-2433297
,,KANPUR ROAD,DL.NO. : 20-B-BW-2632/2004
,,LUCKNOW  - 226012,GstNo : 
,,,Email: 
,,,
101,,PREMIER DISTRIBUTORS,Mob : 
,,"129,NAL BASTI GHAZIABAD",Tel : 01202851026
,,,"DL.NO. : 36/20B/2001 , 36/21B/2001"
,,,GstNo : 
,,,Email: 
,,,
102,,R.K.MEDICOSE,Mob : 
,,"SHOP NO. 2 , UPPER",Tel : 
,,INDIA MARKET KHAIR NAGAR,"DL.NO. : UP1520B001922 , UP1521B001916"
,,MEERUT,GstNo : 09ABCFR4205P1ZV
,,,Email: 
,,,
103,,R.S.PHARMA,Mob : 
,,"10&15,1ST FLOOR,OPP.KABUTAR WALI",Tel : 
,,"DARGAH ,HING KI MANDI FOUNTAIN","DL.NO. : UP8020B000634 , UP8021B000633"
,,AGRA,GstNo : 09BCUPC1192E2ZI
,,,Email: mohitchandani19may@gmail.com
,,,
104,,RAJ MEDICOS,Mob : 
,,"GALI DR.DESRAJ,UPPER BAZAR",Tel : 
,,MODINAGAR,DL.NO. : 33/21B/GZB/2003
,,,GstNo : 09AEZPA8650B1ZA
,,,Email: 
,,,
105,,RAJ PHARMACEUTICALS CO.,Mob : 
,,C-516 TRANSPORT NAGAR,Tel : 
,,KANPUR ROAD LUCKNOW,"DL.NO. : 20-BW-1987/06 , 21-BW-1987/06"
,,,GstNo : 
,,,Email: rpc_pharma@sify.com
,,,
106,,RATHI PHARMA,Mob : 
,,"SHOP NO.3,HOTEL HEAVEN,GURUDWARA",Tel : 
,,ROAD CIVIL LINE BIJNOR-246701,"DL.NO. : UP2020B001585 , UP2021B001581"
,,,GstNo : 09BCDPR7302E1ZP
,,,Email: rathipharma9756@gmail.com
,,,
107,,RAVI ENTERPRISES,Mob : 
,,"GF-12,GROUND FLOOR,VARDHMAN PLAZA",Tel : 
,,"PALLAVPURAM PHASE-1,ROORKEE ROAD",DL.NO. : WLF20B2025UP001842
,,MEERUT-250110,GstNo : 09ABKFR9333E1ZV
,,,Email: 
,,,
108,,RITU PHARMA,Mob : 
,,"11 , MATIN COMPLEX KHAIR NAGAR",Tel : 01212524348
,,MEERUT,"DL.NO. : OBW-49/94 , BW-50/94"
,,,GstNo : 09AABFR4997G1ZQ
,,,Email: 
,,,
